pitcher,outs,innings,walks,hits,runners,whip,runs
641927,172,57.333333333333336,16,60,76,1.3301245676305018,0.010233405126086836
641941,146,48.666666666666664,13,41,54,1.2137967612259162,-0.06172947275948992
641995,1,0.3333333333333333,2,1,3,1.3976966219976874,0.05203492831471335
642003,28,9.333333333333334,6,9,15,1.3862690035828407,0.04496555828249227
642048,54,18.0,5,14,19,1.2512498214540777,-0.038560205815124204
642068,58,19.333333333333332,8,13,21,1.2567147279184159,-0.03517949737829973
642073,45,15.0,4,14,18,1.3001124342813704,-0.00833274473990131
642083,82,27.333333333333332,14,36,50,1.5325364601942377,0.13544974640645013
642092,200,66.66666666666667,13,90,103,1.4651459635411286,0.09376053871668066
642121,131,43.666666666666664,19,33,52,1.2616538433278401,-0.03212405457355039
642130,92,30.666666666666668,15,28,43,1.3644186983055044,0.03144849044604825
642152,162,54.0,24,38,62,1.2298041601347713,-0.05182695221390987
642203,139,46.333333333333336,20,50,70,1.4285547085703814,0.07112440300221845
642207,126,42.0,23,33,56,1.3348661424067063,0.01316664505514209
642232,354,118.0,20,130,150,1.2881168462053263,-0.015753472995360007
642233,56,18.666666666666668,8,27,35,1.5039141198248491,0.11774335230805222
642397,145,48.333333333333336,27,37,64,1.3298025831359825,0.010034218606747247
642528,177,59.0,13,52,65,1.1984259670964872,-0.07123817592452131
642545,86,28.666666666666668,11,29,40,1.3605462551697325,0.029052914004684016
642547,357,119.0,50,64,114,1.0555849287622439,-0.1596027081580711
642701,104,34.666666666666664,21,40,61,1.529397953853107,0.13350819901936728
643230,44,14.666666666666666,2,12,14,1.2364495137356726,-0.04771599384145597
643256,155,51.666666666666664,10,47,57,1.2069018449051643,-0.06599481598702261
643290,149,49.666666666666664,29,41,70,1.3762402933563416,0.03876158288155207
643316,133,44.333333333333336,29,38,67,1.426887185469088,0.07009283742027672
643327,10,3.3333333333333335,5,5,10,1.4605046379966247,0.09088931511409082
643338,181,60.333333333333336,11,41,52,1.0548734466053498,-0.1600428462914788
