batter,stand,woba_L,pa_L,woba_R,pa_R
435559,R,0.3459974939079297,190,0.31298073063026904,466
443558,R,0.43041215552806206,325,0.3702025914894831,837
444489,R,0.3489579200096846,170,0.2998662510138706,210
444876,R,0.32988594236714036,43,0.3238696857379856,104
445926,R,0.3439433989141966,1,0.3262689062365469,3
446321,R,0.3439433989141966,1,0.3250886486795638,4
446334,R,0.38316187902661,274,0.3209540539952575,636
450203,R,0.3269382391590017,13,0.30011614213986243,33
451594,R,0.3103757457588721,164,0.325363905753108,1
453286,R,0.2985770615463744,26,0.2690449730184007,85
453527,R,0.3439433989141966,1,0.325363905753108,1
453562,R,0.3221518552608084,20,0.29752000722065114,56
453943,R,0.3697267329937972,218,0.3098062135123319,496
455117,R,0.32588184076416826,262,0.3047592562629777,607
455139,R,0.37271741014398807,184,0.31939265927977845,441
456501,R,0.32078903548097903,15,0.3089205442431703,23
456715,R,0.34192836757831496,230,0.3178767452506295,591
456781,R,0.36756188424650205,300,0.33580162744061004,445
457705,R,0.40864692300557964,281,0.3189782561661619,641
457708,R,0.32885242608617526,250,0.3224046725516711,508
457727,R,0.3331593846153848,117,0.3434803503523096,293
457759,R,0.3765296975248476,381,0.3755995460735362,816
457763,R,0.33839339034642724,217,0.3497699240639678,538
457915,R,0.3439433989141966,1,0.3206729399361752,5
458681,R,0.34121064614901514,2,0.3239168993617508,5
458708,R,0.33852097646087503,3,0.3218003904275042,9
460077,R,0.30293535940860533,59,0.2873636900351918,69
462101,R,0.2962499651964315,373,0.3131028780982941,814
467092,R,0.35552169072691786,201,0.32159459459459466,616
468504,R,0.33587337898202435,4,0.31110201155095984,28
474568,R,0.35560416042460324,107,0.31753694031998164,277
475582,R,0.37002420744251663,148,0.3112208785466588,310
489334,R,0.34121064614901514,2,0.3239168993617508,5
493329,R,0.35929526123936834,408,0.35116778942075044,938
493472,R,0.33852097646087503,3,0.3281960985337904,9
500743,R,0.38294561637658137,310,0.3123085207536918,746
500871,R,0.3563011022688727,383,0.33026253479895545,3
501571,R,0.31576966196704626,167,0.2849871950869906,348
501981,R,0.3629232210491229,220,0.28680222842698655,475
501985,R,0.34121064614901514,2,0.309516721212288,15
502043,R,0.3456834808214351,5,0.3193131706083929,9
502054,R,0.3814545589331534,356,0.33547468803655695,897
502110,R,0.41673721279695347,393,0.3505370865673171,963
502179,R,0.33251000434645805,8,0.31818261331989883,10
502239,R,0.34291234524011976,4,0.32045179067243607,8
502624,R,0.3337517612399133,15,0.29329655664987603,43
502671,R,0.37894194417881033,275,0.35357229775551285,1173
503556,R,0.3262447752806171,270,0.32865531945649046,1
506433,R,0.31102990672180053,20,0.274360569267516,85
506703,R,0.33617271384950653,14,0.3224622835375787,43
514888,R,0.3624144942123806,367,0.3571455008652183,961
516416,R,0.3674642312488325,331,0.3288874678996831,885
516770,R,0.37406240955226244,279,0.3066690328402888,805
516782,R,0.3477806572942231,307,0.36299551343224157,879
518516,R,0.3199326178230966,31,0.30136201332904566,84
518586,R,0.3693862706069846,175,0.2926233418229785,204
518595,R,0.34115451040594547,216,0.328134811211633,493
518626,R,0.3644291153753605,295,0.36834122594667196,846
518774,R,0.34121064614901514,2,0.32183295443171916,4
518876,R,0.2782401632838194,33,0.27357122029450365,80
518934,R,0.3879428828160102,382,0.36112616611495646,1041
518960,R,0.30978297742071625,115,0.31859431228676927,235
519076,R,0.33852097646087503,3,0.32300139195821265,3
519222,R,0.35622610860487514,100,0.29882058926692395,291
519306,R,0.34041071823635854,28,0.3161003647258045,31
519317,R,0.35308347367201,166,0.3585140030810729,428
519326,R,0.3439433989141966,1,0.325363905753108,1
519455,R,0.3439433989141966,1,0.32417834459118877,2
520471,R,0.33382085364667985,303,0.325363905753108,1
521692,R,0.3964416651586139,171,0.3453764563670018,460
523260,R,0.3439433989141966,1,0.3206729399361752,5
527038,R,0.3600122159898917,300,0.3425972826771883,543
534606,R,0.35061750888197746,28,0.3238945270025373,22
541600,R,0.32465243039983477,48,0.3019526695491645,53
541645,R,0.37053620927504105,336,0.3302134362233318,816
541650,R,0.3203802235454829,138,0.297141838536311,135
542303,R,0.3629045149426395,205,0.35382596181488,855
542340,R,0.3270929840112453,409,0.32417834459118877,2
542583,R,0.34908889430642065,322,0.33630942312649015,709
542932,R,0.3246000316806592,213,0.32894618094054434,494
542992,R,0.3447632585471655,11,0.3301530619539886,4
543068,R,0.39682828799807335,270,0.3368909849254743,661
543101,R,0.29047435403008137,35,0.2757903671308552,71
543135,R,0.3439433989141966,1,0.32436516106893165,4
543228,R,0.37514969497888334,192,0.3069368288649228,576
543243,R,0.3120603654142355,16,0.2931351342046981,72
543281,R,0.3494534895779324,162,0.31715356931807903,470
543294,R,0.2933277807420522,28,0.28466910256268096,84
543308,R,0.3309340683379274,102,0.3024988351711745,262
543309,R,0.33329132453733806,80,0.30217813867752286,180
543432,R,0.3335226157215137,7,0.33735857910570577,35
543475,R,0.3184396019871339,11,0.30266551071878955,41
543510,R,0.3840524306413627,268,0.31312469401221826,656
543592,R,0.3510883779133429,192,0.33990337584673036,370
543685,R,0.38812994495109915,331,0.3826830808964543,857
543760,R,0.3725562900890891,399,0.36227961625618027,1109
543807,R,0.3698463909778037,289,0.39200105034164145,785
543877,R,0.3346617443016942,359,0.32632392507634994,728
544931,R,0.2889368164473772,31,0.3122919089744946,64
545121,R,0.32646755482820666,108,0.325363905753108,1
545333,R,0.3053939434997633,22,0.3037053876613913,34
545341,R,0.3493898188949403,378,0.3173343437999077,918
545350,R,0.34050274660349206,219,0.307026491461823,309
545358,R,0.31970842139198363,152,0.3232572628043661,316
545361,R,0.3795071098274259,286,0.4266104482639597,678
546990,R,0.29613973103765756,35,0.3225893671295175,70
546991,R,0.2899457337659011,146,0.3029598869978066,297
547001,R,0.3439433989141966,1,0.31818261331989883,10
547179,R,0.33175674740963146,19,0.3255657717690781,36
547379,R,0.3411555565400869,233,0.3025883773298245,456
547943,R,0.3235004027187049,16,0.2978310817296157,57
547989,R,0.39429458496191894,358,0.3510513960304931,1072
548389,R,0.3184396019871339,11,0.31933673746168667,19
553869,R,0.3129075589205033,216,0.3077528789549627,448
553902,R,0.33272915457046953,111,0.31453387574815844,277
553993,R,0.34457886042752905,320,0.34212423241288137,1040
570481,R,0.35014745924066837,173,0.26777720234542335,403
570482,R,0.3509401112563285,295,0.3591922347050241,719
570731,R,0.3845037937675478,302,0.3235042268152023,831
571448,R,0.39318644936761127,331,0.35970763286228447,996
571657,R,0.3670402838792468,178,0.30110448377303684,484
571740,R,0.30549506691348705,174,0.3254286822443898,18
571745,R,0.36694060326132893,227,0.3304614852453542,556
571771,R,0.3514952627366306,407,0.32014819369517994,650
571912,R,0.30414060172773344,42,0.2983889268838598,109
571918,R,0.3440388839556952,3,0.32745063420848575,13
571927,R,0.3389878734503086,22,0.3068130517023961,41
571945,R,0.3377125941106988,15,0.2900614077966517,51
571976,R,0.36369307670153633,281,0.3372291233446427,811
572008,R,0.32631988284255753,115,0.29660753968605313,174
572039,R,0.34437974341661054,242,0.29389506763703405,508
572041,R,0.38324674878708065,279,0.3340549639837144,611
572070,R,0.3332668742235791,5,0.3275396062336769,3
572191,R,0.32449106811155276,190,0.30976950374939805,417
572228,R,0.3483106898773565,235,0.36449965352015085,663
572233,R,0.3382569180505685,328,0.3348391804363156,815
572287,R,0.34179129499771677,218,0.298413348188412,430
573131,R,0.3887345043762276,169,0.353338233921404,151
573186,R,0.324566710150953,14,0.29117082708965325,52
575929,R,0.3619117781004379,245,0.3461536959117848,790
578428,R,0.33611149859303996,287,0.32420769202444955,801
591720,R,0.335906899599931,93,0.31897250673360583,159
592178,R,0.40417014053568323,272,0.3576626960124356,943
592192,R,0.3711157910025055,366,0.36613790768250204,819
592200,R,0.3264682427222221,176,0.34001333173751447,322
592206,R,0.3963574859549866,274,0.3616971862774602,1041
592273,R,0.31683779603966417,202,0.3015268285812268,373
592314,R,0.3184396019871339,11,0.2991282401979941,31
592346,R,0.31574797546361566,15,0.30154886506935696,41
592351,R,0.2773133909314824,31,0.2868473299331611,67
592407,R,0.32005501688017945,50,0.3306634662609182,138
592444,R,0.3001436681728655,132,0.3317369536301816,414
592450,R,0.4101502772034211,290,0.36668892561348226,756
592518,R,0.3921390556680207,334,0.3455631058334286,1043
592663,R,0.3814309452722877,315,0.34356437818780045,852
592669,R,0.36683942945304693,336,0.3176009588605077,721
592717,R,0.33852097646087503,3,0.3161153165552498,9
592743,R,0.33977637796864063,268,0.2849145754547385,640
592761,R,0.3173771623541286,25,0.30576397939551925,46
592791,R,0.34121064614901514,2,0.32270499233021904,11
592826,R,0.32754196624983434,10,0.30627383258409185,52
592836,R,0.32323322474601024,9,0.30346963777233305,26
592866,R,0.3163633900142271,22,0.30611642663535654,44
593160,R,0.35168047086626475,408,0.3383432908517641,1099
593334,R,0.33070051286733976,6,0.3206729399361752,5
593372,R,0.3332668742235791,5,0.3094602848589802,22
593423,R,0.34121064614901514,2,0.32436516106893165,4
593428,R,0.3900914818299296,416,0.3816972090657682,971
593590,R,0.35676683129011894,23,0.3157549432293685,44
593643,R,0.37529347368089455,378,0.3014128769216166,602
593934,R,0.3497517286613673,304,0.35021473172942014,722
594807,R,0.3365313741301558,207,0.3443556807683425,549
594838,R,0.3453154900028611,187,0.3082085030256064,207
594965,R,0.3386991396101411,5,0.3149960815595394,10
595191,R,0.3439433989141966,1,0.30648533209721224,26
595453,R,0.3468190192022969,51,0.30188854944787274,117
595751,R,0.33296914243676484,220,0.31243277147847304,583
595879,R,0.37570020786428365,265,0.3222809195691132,923
595928,R,0.33852097646087503,3,0.32417834459118877,2
595943,R,0.345205247247832,86,0.31548655279320464,198
595956,R,0.31238057755694426,77,0.3163134095507399,214
595978,R,0.2711997202289283,170,0.2732081360883658,469
595981,R,0.3041855952836264,88,0.3147870775831565,85
596056,R,0.3331873735237293,49,0.3100839192923679,98
596103,R,0.3763728423038815,293,0.30289472507656434,258
596115,R,0.3920690090276106,393,0.35805691276288876,958
596133,R,0.3332668742235791,5,0.3120205313851825,30
596142,R,0.34665772800168276,252,0.3283730260636638,728
596451,R,0.3094159675148716,119,0.31851701838927676,13
596748,R,0.3236001759510502,276,0.30355590174625036,764
596825,R,0.33308072683944034,42,0.32865531945649046,1
600301,R,0.3456834808214351,5,0.32088283968429104,7
600474,R,0.3480400450574756,313,0.30970517565249267,504
600524,R,0.3465826075264803,273,0.33327989877012154,585
600858,R,0.32599045374329366,43,0.30403180818537795,96
601713,R,0.32817337461300355,7,0.3106489871531554,22
602074,R,0.3144610229356762,138,0.31029973082693496,265
602104,R,0.32530096326471125,93,0.34525886679247114,136
602922,R,0.3363678152944138,104,0.29789766583011984,115
605113,R,0.3730538998692021,340,0.30133352671001057,879
605119,R,0.3104647161948872,238,0.3541617116601018,728
605131,R,0.3119059907968104,148,0.3143418578527735,375
605135,R,0.34121064614901514,2,0.3206729399361752,5
605141,R,0.3622607261393177,365,0.3934755706297553,978
605200,R,0.2995942433272051,32,0.2930377376437158,60
605204,R,0.36308718147910246,273,0.3663293219262453,549
605244,R,0.30907446964816543,51,0.30839830934779766,89
605276,R,0.33852097646087503,3,0.3206729399361752,5
605288,R,0.33269894541535394,21,0.29155295341202425,43
605397,R,0.30665187345463807,32,0.2833124513707722,73
605400,R,0.27654771351754726,43,0.30545820174836386,73
605452,R,0.32078903548097903,15,0.3130276297439985,45
605507,R,0.3456154289542152,3,0.31388474410821376,11
606115,R,0.3252753214343842,204,0.2946679926560588,593
606157,R,0.35627731111463334,138,0.3382911461201774,273
606192,R,0.39416469502513013,313,0.3459085339318843,763
606213,R,0.37148595612120494,69,0.3197350878086892,193
606299,R,0.3181122866874921,226,0.2956864321440295,438
606336,R,0.3440388839556952,3,0.3250886486795638,4
606466,R,0.42052498894939083,283,0.32300139195821265,3
606988,R,0.30831434279346687,73,0.2902564204759559,273
606992,R,0.3817102386075566,103,0.3114653641207816,206
606993,R,0.3261732725359527,17,0.32270499233021904,11
607111,R,0.3300072887381562,9,0.3206729399361752,5
607188,R,0.3511423412106466,2,0.325363905753108,1
607200,R,0.31150995599008025,14,0.3004449969489634,32
607208,R,0.40111569501987926,325,0.3569608537826632,1044
607229,R,0.3467723953835288,2,0.32319601948940063,5
607231,R,0.3332668742235791,5,0.30844364508393296,16
607345,R,0.33790691769702497,133,0.3001739266813583,219
607430,R,0.34121064614901514,2,0.3277015186915889,5
607468,R,0.3332849113318661,53,0.3240764520506466,80
607680,R,0.3391277393622788,332,0.3098962178164124,777
607732,R,0.3446433630505677,204,0.31150191422776935,474
608324,R,0.41994599030574514,365,0.3628783864520581,839
608334,R,0.3439433989141966,1,0.32417834459118877,2
608337,R,0.34291234524011976,4,0.3250886486795638,4
608348,R,0.39474446897063054,228,0.3174447914458411,492
