pitcher,p_throws,hev_R,ab_R,hev_L,ab_L,ip,wHEV
641401,R,61.62,90,59.77,95,1.0,60.67
641420,R,78.05,20,65.88,17,1.4,72.46
641447,L,66.94,50,75.75,16,4.3,69.08
641482,L,63.58,161,61.35,57,3.9,63.0
641540,R,61.72,198,68.57,167,4.7,64.85
641541,R,68.76,29,66.29,24,3.4,67.64
641582,R,66.4,73,63.38,60,1.1,65.04
641632,R,62.59,29,69.33,18,1.3,65.17
641645,R,86.6,5,91.0,1,1.0,87.33
641672,R,65.4,10,82.17,6,3.7,71.69
641682,R,66.93,61,69.4,47,0.9,68.0
641703,R,63.0,9,78.86,7,1.4,69.94
641726,R,55.7,10,75.3,10,3.0,65.5
641729,R,58.01,84,62.3,46,0.9,59.53
641743,L,59.01,87,64.53,34,3.0,60.56
641745,R,69.33,239,67.49,239,5.0,68.41
641755,R,65.58,104,64.78,88,1.0,65.21
641771,R,60.07,132,65.29,121,3.8,62.57
641778,L,64.29,235,68.04,77,4.6,65.22
641793,R,63.59,106,62.58,59,1.0,63.23
641816,R,61.44,266,54.03,237,5.4,57.95
641835,L,64.11,84,44.93,58,0.8,56.28
641851,R,61.84,51,58.71,45,1.1,60.37
641871,R,67.82,77,59.53,36,1.0,65.18
641907,R,67.82,34,51.81,27,1.2,60.73
641927,R,62.09,140,65.98,127,4.6,63.94
641941,R,62.78,100,63.08,84,1.0,62.92
641995,R,94.0,1,92.0,1,0.3,93.0
642003,L,60.38,26,59.62,8,0.8,60.2
642048,L,72.33,48,48.68,28,0.8,63.62
642068,R,60.38,26,71.94,34,1.0,66.93
642073,R,60.94,32,73.0,20,1.1,65.58
642083,R,58.86,87,75.34,38,1.0,63.87
642092,R,74.64,157,68.49,106,2.8,72.16
642121,R,53.65,84,57.91,85,1.0,55.79
642130,L,62.89,80,52.44,43,0.9,59.24
642152,R,59.01,119,69.33,81,1.0,63.19
642162,R,76.5,4,46.0,1,0.7,70.4
642203,R,66.41,101,65.83,106,4.7,66.11
642207,R,41.05,78,54.72,85,0.9,48.18
642232,L,65.47,405,55.86,93,5.3,63.68
642233,R,63.27,49,75.28,25,1.1,67.33
642336,R,84.71,7,52.6,5,1.0,71.33
642397,L,57.26,136,51.15,52,1.0,55.57
642528,R,47.87,139,61.07,97,1.3,53.3
642545,R,70.84,91,77.7,54,4.2,73.39
